text,label
"Felicitări! Ai câștigat o loterie internațională. Trimite datele cardului acum pentru revendicare!",spam
"Oferta urgentă! Înregistrează-te astăzi și primești un premiu garantat.",spam
"Contul tău bancar va fi blocat dacă nu actualizezi imediat datele personale.",spam
"Mostenire importantă! Ai fost selectat pentru o donație de 50.000 EUR.",spam
"Urgent! Confirmă plata pentru a primi moștenirea familiei tale.",spam
"Primești un bonus de 1000 EUR dacă răspunzi la acest mesaj în următoarele 10 minute.",spam
"Trimite numele complet și adresa pentru a primi premiul instant.",spam
"Avem nevoie urgentă de codul CVC de pe cardul tău pentru confirmare.",spam
"Transfer bancar imediat! Ai câștigat un premiu special.",spam
"Alege acum premiul tău garantat!",spam
"Ultima șansă să revendici moștenirea ta!",spam
"Spune-ne adresa pentru a-ți livra premiul câștigat la extragerea de ieri.",spam
"Contul tău PaySecure trebuie verificat. Trimite datele cardului acum.",spam
"Participă la oferta exclusivă și câștigă un premiu garantat!",spam
"Notificare urgentă: contul tău va fi dezactivat dacă nu îl confirmi.",spam
"Salut, vrei să ieșim la un film diseară?",ham
"Am mutat ședința de laborator pe joi la ora 10.",ham
"Ne vedem mâine la cursul de Structuri de Date.",ham
"Am nevoie de notițele tale de la seminar. Le poți trimite?",ham
"Te sun mai târziu, sunt într-o întâlnire.",ham
"Salut! Ai timp să lucrăm la proiectul de la facultate?",ham
"Nu uita că marți avem prezentarea finală.",ham
"Profesorul a anunțat că tema se prelungește cu încă o săptămână.",ham
"Trimite-mi raportul când e gata.",ham
"Am ajuns acasă, mulțumesc pentru ajutor!",ham
"Ne vedem în fața facultății la 14:00.",ham
"Mi-ai uitat cartea la mine. Ți-o aduc mâine.",ham
"Vrei să repetăm împreună înainte de examen?",ham
"Ședința echipei a fost mutată pe Teams.",ham
"Am rezervat masa pentru ora 19.",ham
"Salut! Poți să îmi dai și mie notițele de la cursul trecut?",ham
"Vrei să mâncăm ceva după curs?",ham
"Am trimis documentele la secretariat.",ham
"Profesorul a trimis un anunț pe grupul de Teams.",ham
"Am terminat partea mea din proiect, vezi dacă e ok.",ham
"Întâlnirea cu colegii e la ora 17.",ham
"Nu uita să încarci tema pe Classroom.",ham
"Am pus fișierele în folderul comun.",ham
"Vii la prezentare astăzi?",ham
"Se pare că laboratorul s-a anulat.",ham